名称,功效,主治,组成原文,用法用量,方解,要点,加减化裁,注意事项,临床应用,其他信息
葛根汤,疏散风寒，解肌发汗。,治太阳病，项背几几，无汗恶风、太阳阳明合病下利。外感风寒表实，项背强，无汗恶风，或自下利，或血衄；痉病，气上冲胸，口噤不语，无汗，小便少，或卒倒僵仆。现代还能治颈椎病、以发胖为主的多囊卵巢综合症、痤疮等。,葛根四两（12g），麻黄（去节）三两（9g），桂枝（去皮）二两（6g），芍药二两（6g），甘草（炙）二两（6g），生姜（切）三两（9g），大枣（擘）十二枚。,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。,本方为桂枝汤加麻黄、葛根而成。方用葛根四两为主药，主治“项背强几几”。“项背强几几”，即为项背强痛的古代通俗说法。用现代语言描述，这是一种从后头部至后背部的肌肉拘急疼痛感，有时范围可达到腰部。同时多伴有头痛，头昏，眩晕等。患者有主诉头项强痛者，有主诉肩颈部酸重者，有主诉腰背酸痛者，也有但诉说头昏头重头痛者，甚至仅诉说全身困重者。医生可用手指沿其风池穴往下向脊柱两侧用力按压，两夹脊肌肉有抵抗感，患者可诉说疼痛感或酸重感。这种项背强痛感，一般多见于肌肉较厚实的患者。另外，头面部的乃至五官的许多病症所出现的头痛、头昏、头晕、耳鸣等不适感，也可以看作是项背强痛的延伸。需要特别指出的是项背强痛一证，非葛根证所独有。栝楼桂枝汤证的“身体强几几然”，麻黄汤证的“身疼腰痛”、桂枝去桂加茯苓白术汤证的“头项强痛”等在某种程度上都可以认为是“项背强几几”的延伸表现，临床应注意鉴别。,本方证为邪入太阳经输，经气不利，筋脉失于濡养所致，以无汗、恶风、项背拘急不舒为主证，宜葛根汤解表而散经输之邪。身体瘦癯，头项左倾，两侧颈项和后枕部僵硬麻木，牵强疼痛，转侧时疼痛益剧，头似不在脖子上，二便自调。舌质淡红，苔薄白，脉细弦。,表邪犯胃呕逆者，加半夏；身热烦渴，加石膏；头痛剧者，加蔓荆子、藁本；咽痛痰粘，加桔梗；伴风疹者，加防风、川芎、蝉蜕；口眼㖞斜，加地龙、川芎、木瓜。,①表虚有汗者，忌。②口渴、思冷者，忌。③下利清谷、不欲食冷之里虚寒证者，忌。④本方应餐后服用。,"①颈椎病：以本方随症加减治疗102例，疗程为30日。治疗期间，停用其他药物内服及针灸理疗等外用疗法。原有各型症状消失、肌力正常，颈、肢体功能恢复正常，能参加正常工作和劳动为治愈。结果：总有效率93.2%。(《辽宁中医杂志》2008年第1期)
②感冒：以葛根汤合剂治疗外感风寒型感冒115例，与荆防合剂治疗115例对照。疗程为3日。根据临床症状及体征，不良反应，实验室及其他检查判定疗效.结果：总有效率95.7%。(《临床荟萃》2005年第6期)
③周围性面瘫：以本方治疗143例，与西药(口服泼尼松、阿司匹林、新斯的明，维生素B12肌注)治疗72例对照。两组均每6日复诊1次。疗效评定以口轮匝肌功能正常，“贝尔症”消失，乳突区无压痛，吸出量达400毫升/分(女)或500ml/分(男)以上为治愈。结果：有效以上88.8%，显效以上73.42%。1个月内恢复占76.92%。(《陕西中医》2002年第2期)
④.右侧头痛二年，连及前额、眉棱骨。伴无汗恶寒，颈项及后背拘急，舌淡苔白，脉浮略数，十五剂愈。（《刘渡舟验案精选》）
⑤伤风、流感，支气管炎，肺炎，脑炎，破伤风，麻疹，猩红热，小儿麻痹证之初起；胃炎，中耳炎，副鼻窦炎蓄脓证，急性眼结膜炎，牙痛，丹毒，以及身体任何部分，特别是上半身局限性之化脓疾患等。（《伤寒论方运用法》）
⑥感冒，麻疹初起，扁桃体炎，耳道炎，副鼻窦炎蓄脓症，急性眼结膜炎，荨麻疹，湿疹，痢疾肠炎初起，肩凝，颈筋闪挫，背肌拘挛。（《古方临床之运用》）
⑦麻疹初起，恶寒发热、头项强痛、无汗、脉浮数、或干呕下利者；疫痢初起，发热恶寒、脉数者；咽喉肿痛、时毒痄腮、疫眼焮热肿痛、项背强急、发热恶寒、脉滑数者；痈疽初起，壮热憎寒脉数者。（《金匮要略今释》）",葛根汤
三物黄芩汤,养血滋阴、清热解毒,产后血亏阴虚，风邪入里化热，四肢烦热，头不痛者。临床报道也见于报道治疗自身免疫性肝炎和直肠癌等病症。,黄芩、苦参各二两（各6g），干地黄四两（12g）。,上三味以水800毫升煮取300毫升，分早晚两次温服。,本方用于治疗产后血亏阴虚，风邪入里化热之证，方用黄芩清热，地黄滋阴养血，苦参燥湿祛风，刚柔并用，祛风而不燥，滋阴而不腻。,"临床应用以产后发热而无表证者为辨证要点。
①心烦失眠，手足烦热，甚则灼热疼痛、肤色红。
②唇舌干燥，口渴欲饮。
③舌质红而少津。",,,"①春夏季烦热：以本方治疗春夏季烦热患者34例，患者均自觉周身烦热，以手足心尤甚，午后和夜问较重，或失眠、口渴、盗汗。临床以自觉症状消失，第2年不再复发为痊愈，自觉症状明显减轻为好转。经治疗时间1~4周不等，平均用药12剂，痊愈26例，好转8例，总有效率为100%。(《实用中医内科杂志》2001年第4期)
②癌症发热：以本方治疗确诊为恶性肿瘤后发热患者30例，患者均为发热时间持续2周以上，每日至少有1次体温超过37.5℃。疗效标准以体温恢复正常，停药后无发热现象为显效。结果：中药组显效10例(33.3%)，有效16例(53.4%)，无效4例(13.3%)，总有效率86.7%。(《实用中医药杂志》2005年第8期)
③风湿痛《外台秘要》引《古今录验》：骠骑使吴谐，以建元元年八月二十六日始觉如风，至七日，卒起便顿倒，髀及手皆不随，通引腰背疼痛，通身肿，心多满。至九月四日服此汤一剂，通身流汗，即从来所患悉愈。《谢映庐医案》高汉章、得风湿病，遍身骨节疼痛，手不可触近，近之则痛甚，微汗自出，小水不利。当时初夏，自汉返舟求治，见其身面手足俱有微肿，且天气颇热，尚重裘不脱，脉象颇大，而气不相续。其戚友满座，问是何症?予曰：此风湿为病。渠曰：凡驱风利湿之药，服之多矣，不惟无益，而反增重。答曰：夫风本外邪，当从表治，但尊体表虚，何敢发汗；又湿本内邪，须从里治，而尊体里虚，岂敢利水乎?当遵仲景法处甘草附子汤。一剂如神，服之三剂，诸款悉愈。",附方：《黄芩汤（《伤寒活人指掌》卷五）。《张氏医通》：上三味皆纯阴苦寒，伤胃滞血之药，产后虽有烦热，难以轻用，必有质壮气盛，脉证俱实，能食便硬者，始堪任此，用者审之。
参附龙牡汤,敛汗潜阳，扶正固脱,阴阳俱竭、阳越于上证,熟附子10~30g，人参10~30g，龙骨(煅，打碎)、牡蛎(煅，打碎)各10~25g，白芍、炙甘草各5g。,每日1剂，水煎分3次服。,附子大辛大热，回阳救逆，人参甘温，大补元气，以固后天之本。参附合用补气回阳，阳气（元阳）是五脏六腑功能活动之动力。龙骨、牡蛎重镇，固摄阳气，以防虚阳浮动，摄气归原，阴阳相互依附，故用酸甘之白芍、甘草护阴潜阳。,诊断要点为汗出肢冷，面色浮红，脉虚数或浮大无根。临床上用于阴阳俱竭、阳越于上证。,气虚者，加黄芪；肾虚者，加补骨脂、山茱萸、山药、桑螵蛸。,龙骨、牡蛎须先煎。,中风阳脱证：某女，61岁，近10天来精神软弱，头痛加重，卧床不起。忽然神志不清，小便失禁，大便数日未解，面色苍白，呼吸稍急促，冷汗淋漓，目合口开，呼吸低微，喉中痰呜，手撒肢冷，肢体软瘫，脉微欲绝，舌痿质淡。证属正气虚，风痰内闭，阳气欲脱。急宜益气固脱，回阳救逆，佐以化痰开窍。予参附龙牡汤加味，红参9g（先煎）、制附片10g、龙骨30g（先煎）、牡蛎30g（先煎）、石菖蒲10g、制南星9g、急服一剂，次日神志稍清，能进汤粥，嘱其原方再取二剂，病情大为好转，能起床活动，改投二陈汤加味以健脾化痰善后。随访二年余，一切正常。,参附龙牡汤
麻黄杏仁甘草石膏汤,辛凉宣泄，清肺平喘。,外感风邪，邪热壅肺证。身热不解，咳逆气急，甚则鼻煽，口渴，有汗或无汗，舌苔薄白或黄，脉浮而数者。,麻黄三钱(9克)、杏仁三钱(9克)、甘草两钱(6克)、石膏(先煎)一两(30克),水煎，温服。,麻黄杏仁甘草石膏汤清宣肺热，平喘止咳。本方是麻黄汤去桂枝加石膏半斤组成。柯韵伯《伤寒来苏集》云：“一加一减，温解之方转为凉散之剂矣。”方中麻黄辛温，宣肺止咳平喘；石膏辛甘大寒，清解肺热，其用量大于麻黄一倍，使麻黄由辛温之性转为辛凉之用，以宣散清透肺热；杏仁佐助麻黄宣肺降气，止咳平喘；炙甘草化痰止咳，和中缓急，调和麻黄与石膏寒热之性。四味相合，共奏清热宣肺、止咳平喘之功。麻黄与石膏相配，以及麻黄与杏仁相配，是清热宣肺及平喘止咳的常用对药。,麻黄杏仁甘草石膏汤治邪热壅肺证。症见发汗后，汗出，气喘，无大热。临床应用以身热不解、外感风邪、有汗或无汗、咳逆气急。甚或鼻扇口渴、苔薄白或黄、脉浮滑而数为辨证要点。凡属风寒实喘、肾虚久喘者，不宜应用。,原治太阳病，发汗未愈，风寒入里化热，“汗出而喘者”。后世用于风寒化热，或风热所伤，但见肺中热盛，身热喘急，口渴脉数，无论有汗，无汗，便以本方加减治疗，服后辄效。因肺中热甚，蒸迫津液，固然有汗，若津液大伤，则汗少或无汗。此时当加重石膏用量，或加炙桑皮、芦根、知母之属。若无汗而见恶寒，是虽邪已入里化热，但在表之风寒未尽，或是风温而挟风寒所致，当酌加解表之品，如荆芥、薄荷、淡豆豉、牛蒡子之类，在用清泄肺热为主的同时，开其皮毛，使肺热得泄而愈。所以临证用本方，不必拘于“汗出而喘”，但当细审无汗之故，或加清热生津之品，或加辛散解表之属，自然药证相当，应手而效。,斟酌。,,本方又称“麻杏石甘汤”，首见于《伤寒论》。
当归四逆加吴茱萸生姜汤,养血通络，散寒降逆,素体血虚，内有久寒，又复外受寒邪，手足厥逆，舌淡苔白，脉细欲绝，或兼见头顶痛，干呕、吐涎者,当归9克 芍药9克 甘草6克（炙）通草3克 桂枝9克（去皮）细辛1.5克 生姜15克（切）吴茱萸5克 大枣5枚（擘）,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。,,主症：在当归四逆汤证的基础上，兼有脘腹冷痛、呕吐涎沫、寒疝囊缩等肝胃沉寒证。病机：血虚寒凝，兼肝胃沉寒。治法：养血温经，暖肝温胃。方用当归四逆加吴茱萸生姜汤。,,,1. 指端青紫案例：女，83岁。发热5天，头昏痛，口干苦，渴饮，大便3天未行，小便色红而短，昨夜昏眩不能起床，四肢冰冷，体温38.3℃，苔白厚，脉弦有力。治疗采用四逆散加味，患者翌晨体温恢复正常，大便通畅，精神舒畅，继续服用一剂痊愈。[广东医学，1965，（2）：25] 2. 痛经案例：万某，女，22岁。经来腹痛五年，曾服温经汤及调经药无效。自述身冷，恶寒，四肢无力，小腹不温，月经衍期，白带多而清稀，经期小腹剧痛，足手冰冷，口不渴，时吐清涎，小便量多。舌质淡暗，苔薄，脉沉迟细弱。诊断为虚寒逆经，采用当归四逆加吴茱萸生姜汤治疗，六剂后痊愈。[新医药学杂志，1978，（3）：7],
参附汤,益气回阳救脱,元气大亏，阳气暴脱，汗出粘冷，四肢不温，呼吸微弱，或上气喘急，或大便自利，或脐腹疼痛，面色苍白，脉微欲绝。现用于心力衰竭见有上述症状者。,人参一两(30克)、附子半两(10克)。,先将生姜、大枣用水煎汤，去渣留汁，以汤代水煎煮人参、附子，取汁徐徐饮服。目前临床多只用人参、附子二药，水煎服。病情严重者，可日服2剂。注射液肌内注射，或静脉滴注，每次2～10毫升，或遵医嘱。,参附汤为回阳救逆、益气固脱之要方。方中人参大补元气、益气固脱；附子回阳救逆、补火助阳、散寒止痛。参附配伍，能上助心阳，下补肾阳，中健脾气，气阳同救，起到温而兼润、补而能固的功效，可期峻补阳气以救暴脱之效。临床运用时凡大病虚极欲脱，产后或月经暴崩，或痈疡久溃，血脱亡阳等，均可用本方救治。但一俟阳气来复，病情稳定。便当辨证论治，不可多服，免纯阳之品过剂，反致助火伤阴耗血。,,,但一俟阳气来复，病情稳定。便当辨证论治，不可多服，免纯阳之品过剂，反致助火伤阴耗血。,临床主要用于治疗休克、慢性心力衰竭合并低血压、病态窦房结综合征、新生儿硬肿症、婴幼儿哮喘等病症。具体案例包括：1. 休克治疗效果显著；2. 慢性心力衰竭合并低血压治疗效果良好；3. 病态窦房结综合征治疗效果显著；4. 新生儿硬肿症治疗效果显著；5. 婴幼儿哮喘治疗效果良好。,参附汤
养阴清肺汤,养阴清肺，解毒利咽。,白喉之阴虚燥热证。喉间起白如腐，不易拭去，并逐渐扩展，病变甚速，咽喉肿痛，初起或发热或不发热，鼻干唇燥，或咳或不咳，呼吸有声，似喘非喘，脉数无力或细数。,大生地6g，麦冬、玄参各9g，生甘草、薄荷3g，贝母(去心)、丹皮、白芍(炒)各5g。,水煎服。一般日服1剂，重症可日服2剂。,白喉一证，多由素体阴虚蕴热，复感燥气疫毒，津液被灼，热毒熏蒸于上所致。喉为肺系，少阴肾脉循喉咙系舌本，肺肾阴虚，虚火上炎，复加燥热疫毒上犯，肺失清肃，以致喉间起白如腐，咽喉肿痛，或咳或不咳，呼吸有声，似喘非喘等症；鼻干唇燥，脉数无力或细数。乃燥热伤津，正虚蕴毒之征。治之之法，“不外肺肾，总要养阴清肺，兼辛凉而散为主”。,本方是治疗阴虚燥热白喉的常用方。以喉间起白如腐，不易拭去，咽喉肿痛，鼻干唇燥，脉数无力为辨证要点。白喉忌表，尤忌辛温发汗，据原方后记载；“如有内热及发热，不必投表药，照方服去，其热自除”。,若阴虚甚者，加熟地滋阴补肾；热毒甚者，加银花、连翘以清热解毒；燥热甚者，加天冬、鲜石斛以养阴润燥。并可配合应用《重楼玉钥》之吹药方：青果炭6g，黄柏、川贝母、儿茶、薄荷各3g，冰片、凤凰衣各1.5g。 各研细末，再入乳钵内和匀，加冰片研细，瓶装备用。,白喉忌表，尤忌辛温发汗，据原方后记载：“如有内热及发热，不必投表药，照方服去，其热自除。”,常用于急性扁桃体炎、急性咽喉炎、鼻咽癌等证属阴虚燥热者。,《重楼玉钥》卷上：“喉间起白如腐，初起者发热或不发热，鼻干唇燥，或咳或不咳，鼻通者轻，鼻塞者重，音声清亮，气息调匀易治，若音哑气急，即属不治。”
四逆加人参汤,回阳救逆，益气固脱。,少阴病。四肢厥逆，恶寒蜷卧，脉微而复自下利，利虽止而余症仍在者。阳气衰微，阴液内竭，四肢厥逆，恶寒脉微，下利而利忽自止者。,甘草6克（炙）附子10克（生，去皮）干姜4.5克 人参3克,上四味，以水600毫升，煮取240毫升，去滓，分温再服。上四味，以水三升，煮取一升合，去滓，分温再服。,"1.《注解伤寒论》：恶寒脉微而利者，阳虚阴胜也。与四逆汤温经助阳，加人参生津液益血。
2.《伤寒结论》：亡血本不宜用姜，附以损阴，阴虚又不当用归、芍以助阳。此以利后恶寒不止，阳气下脱已甚，故用四逆以复阳为急也。其所以用人参者，不特护持津液，兼阳药得之，愈加得力耳。设误用阴药，必腹满不食，或重加泄利呕逆，转成下脱矣。
3.《千金方衍义》：直中阴寒用姜、附，温经而救四肢逆冷，因病以立名也；霍乱加人参，助姜、附回阳而使四肢温顺，勒名以彰实也。与当归四逆加生姜吴茱萸助力回阳一义，
4.《古方选注》：四逆加人参，治亡阴利止之方。盖阴亡则阳气亦与之俱去，故不当独治其阴，而以干姜、附子温经助阳，人参、甘草生津和阴。",,,斟酌。,"案例：四逆加人参汤症
言妻病甚，希急与治。遂戴月飞（自行）车，十里路程，二十分即至。
病妇面色咣白，唇舌淡白，汗出如洗，头发尽湿。头晕目黑，语声低微，四肢逆冷，脉沉微细数，一派亡阳之象显露无遗。问素体甚健，何以一病如此?其母答曰：“怀孕三月，不欲人流，而自行挤压。今早见红，初喜甚，以为堕胎成功，不料血大下，一刻凶似一刻，已盈盆矣，犹仍不止。”余已明了，此不全流产也。然胚胎不下，血永无宁时。用中药清宫，已非最佳。遂一面请医院妇科出诊处置，一面从乡卫生所购取附子10g （捣碎），人参10g ，干姜6g ，炙甘草6g ，山萸30g ，用开水急煎。服后约十分钟，血渐减少，四肢逆冷亦不似先前。又约十分钟，妇科赵大夫至，立即施行刮宫手术，术毕，其血即止，四肢转温。
拟归脾汤，嘱服一月。吁，无知愚行，可不畏乎！",别名：四顺汤（《肘后方》卷二）、回阳饮（《医学集成》卷一）、人参四顺汤（《鸡峰普济方》卷五）
五积散,散寒祛湿，理气活血，化痰消积。,外感风寒，内伤生冷证；身热无汗，头痛身寒，项背拘急，胸满恶食，呕吐腹痛，以及妇女血气不和，心腹疼痛，月经不调。现代研究】临床报道尚见于治疗感冒、肩周炎、慢性盆腔炎、产后发热、筋痹，腰痛、腹痛、重症肌无力、痛经、闭经、癥瘕、缠腰火丹等病症。现代实验研究证实，该方在解热、抗炎、止咳、祛痰、免疫调节、发汗等方面有明显的作用。,】苍术、桔梗各二十两(各600克)，枳壳、陈皮各六两(各180克)，芍药、白芷、川芎、当归、甘草、肉桂、茯苓、半夏各三两(各90克)，厚朴干姜各四两(各120克)，麻黄六两(180克)。,每服9克，水150毫升，姜3片，煎至75毫升，热服。凡被伤头痛，伤风发寒，姜煎二钱，仍入葱白，食后热服。如冷气奔冲，心、胁、脐、腹胀满刺痛，反胃呕吐，泄利清谷，及倂癖症瘕，膀胱小肠气痛，即入煨生姜三片、盐少许同煎。如伤寒时疫，头痛体疼，恶风发热，项背强痛，入葱白三寸、豉七粒同煎。若但觉恶寒，或身不甚热，肢体拘急，或手足厥冷，即入炒茱萸七粒、盐少许同煎。如寒热不调，咳嗽喘满，入枣煎服。妇人难产，入醋一合同煎服之。并不拘时候。,"方中麻黄、白芷发散表寒；干姜、肉桂温散里寒；苍术、厚朴健脾燥湿，半夏、陈皮、茯苓理气化痰，当归，川芎、芍药养血和血；桔梗、枳壳升降气机；甘草调和诸药。全方共奏散寒、祛湿、理气、活血、化痰之功。是治疗寒、湿、气、血、痰五积的主方，故名""五积散""。",本方为治疗外感风寒，内伤生冷所致寒、食、气、血、痰五积证之代表方。以身热无汗，胸腹胀满或疼痛，苔白腻，脉沉迟为辨证要点。本方能温里散寒，行气活血，故对妇女血气不调、寒凝气滞所致心腹疼痛、月经不调等亦可治之。本方主治范围广泛，凡表里内外、脏腑经络之寒湿阴邪，皆能治疗。本方药味众多，临床应用可根据表里证之轻重，五积之主次而加减变化。,若心胁脐腹胀满刺痛、反胃呕吐、泻利清谷，加煨姜，盐；头痛体痛，恶寒发热，项背强痛，加葱白，豆豉；但觉寒热，或身不甚热，肢体拘急，或手足厥冷，加炒吴茱萸；寒热不调，咳嗽喘满，加大枣；妇人难产，加醋一合，不拘时服。,本方偏温燥，形体消瘦、心烦口渴、唇舌暗红者慎用。,①本方是治疗外感风寒，内伤生冷而致寒、湿、气、血、痰五种积证的通用方剂。临床以身热无汗，头身疼痛.脚满恶食，呕吐腹痛为应用要点。②具体运用时，可视五积的轻重.的量加减祛寒、燥湿、理气、化痰、活血等药， 才能收到较好的疗效。③本方加减可用于治疗早期肝硬化、肠枯连、肠结核以及消化不良等病而见上述 证候者。④医案选方：多囊卵巢综合征、痰湿肥胖型多囊卵巢综合征、荨麻疹、类风湿关节炎、寒湿体质肥胖。,《宋·太平惠民和剂局方》五积散医案：男43 岁，1998年7月2日就诊。患者3天来畏寒发热，体温38.6 °C，出汗较少，神疲乏力，四肢酸痛，头昏且痛，泛泛欲吐，稍有咳嗽，饮食不思，脘痛作胀，大便稀溏，日三四次，小便短少，舌苔白腻，脉象细滑。证属暑湿内侵，卫表郁遏，肠胃失和，治拟祛暑化湿，调中运脾。处方：五积散加鸡苏散（注：滑石、甘草、薄荷）。上药1帖服后即汗出、热退、寒罢。脘腹作胀依然，口淡乏味。原方去鸡苏散，加陈皮6g。再进二剂，诸症全除，病变向愈。
柴胡疏肝散,疏肝解郁，行气止痛,肝气郁滞证。胁肋疼痛，胸闷善太息，情志抑郁，易怒，脘腹胀满，脉弦。现代应用本方常用于治疗慢性肝炎、慢性胃炎、胆囊炎、肋间神经痛等属肝郁气滞者。,醋炒陈皮、柴胡各二钱（各6g），川芎、香附、枳壳麸炒、芍药各一钱半（各5g），甘草炙五分（3g）。,水煎服，水一盅半，煎八分，食前服。,本方所治为情志不遂，肝失疏泄，肝郁血滞，横逆犯胃所致。肝失疏泄，经气不利，则胁肋疼痛，胸闷善太息，情志抑郁，易怒，脉弦；肝气不疏，横逆犯胃，则脘腹胀满。根据“木郁达之”之旨，治宜疏肝解郁，行气止痛。方以柴胡为君，调肝气，散郁结。臣以香附专人肝经，既疏肝解郁，又理气止痛；川芎辛散，开郁行气，活血止痛，二药助柴胡疏肝理气止痛。佐以陈皮理气行滞和胃，醋炒以增入肝行气之功；枳壳理气宽中，行气消胀，与陈皮相伍以理气行滞调中；白芍、甘草养血柔肝，缓急止痛。炙甘草又调和诸药，兼作使药。诸药合用，能理肝气、养肝血，和胃气，诚为疏肝理气解郁之良方。本方是四逆散加陈皮、川芎、香附而成。而四逆散中四药等量，侧重调畅气机，疏理肝脾；本方重用柴胡，轻用甘草，将枳实改为枳壳，再加陈皮、川芎、香附重在行气疏肝，兼以和血止痛，为治肝郁血滞之良方。,本方为疏肝解郁的常用方，以胁肋胀痛，脉弦为辨证要点。,胁肋痛甚者，酌加郁金、青皮、当归、乌药等以增强其行气活血之力；肝郁化火者，可酌加山栀、黄芩、川榛子以清热泻火。,本方芳香辛燥，易耗气伤阴，不宜久服。孕妇慎用。,男52 岁，2003年3月16日就诊。患者胃脘胀痛，脘痛连胁，胸闷嗳气，进食后加重，得矢气后有所减轻，大便不畅，舌质淡红，苔薄白，脉弦。曾作胃镜示胃窦炎。中医诊为胃痛，西医诊为急性胃炎。治以疏肝理气，和胃止痛：柴胡12g，香附12g，枳壳12g，白芍12g，陈皮12g，川芎12g，甘草6g，青皮12g，郁金12g，川楝子12g，延胡索12g，莱菔子20g，隔山撬30g。每日1剂，水煎服。1剂后症状明显缓解，2剂后症状完全消失。,柴胡疏肝散
