id,name,effect,usage_text,explanation,key_points,modifications,precautions,other_info
1005,葛根汤,疏散风寒，解肌发汗。,以水1000ml，先煮麻黄、葛根减二升（200ml），再去白沫，纳其它诸药，煮取三升300ml，去滓，温服一升100ml。覆衣被取微似汗，余如桂枝法将息。,本方为桂枝汤加麻黄、葛根而成。方用葛根四两为主药，主治“项背强几几”。“项背强几几”，即为项背强痛的古代通俗说法。用现代语言描述，这是一种从后头部至后背部的肌肉拘急疼痛感，有时范围可达到腰部。同时多伴有头痛，头昏，眩晕等。患者有主诉头项强痛者，有主诉肩颈部酸重者，有主诉腰背酸痛者，也有但诉说头昏头重头痛者，甚至仅诉说全身困重者。医生可用手指沿其风池穴往下向脊柱两侧用力按压，两夹脊肌肉有抵抗感，患者可诉说疼痛感或酸重感。这种项背强痛感，一般多见于肌肉较厚实的患者。另外，头面部的乃至五官的许多病症所出现的头痛、头昏、头晕、耳鸣等不适感，也可以看作是项背强痛的延伸。需要特别指出的是项背强痛一证，非葛根证所独有。栝楼桂枝汤证的“身体强几几然”，麻黄汤证的“身疼腰痛”、桂枝去桂加茯苓白术汤证的“头项强痛”等在某种程度上都可以认为是“项背强几几”的延伸表现，临床应注意鉴别。,"本方证为邪入太阳经输，经气不利，筋脉失于濡养所致，以无汗、恶风、项背拘急不舒为主证，宜葛根汤解表而散经输之邪。身体瘦癯，头项左倾，两侧颈项和后枕部僵硬麻木，牵强疼痛，转侧时疼痛益剧，头似不在脖子上，二便自调。舌质淡红，苔薄白，脉细弦。
项背强、自下利、无汗、肌肉痉挛者
①熊腰虎背：体格强健，肌肉厚实，脉象有力，体力劳动者或青壮年多见。
②皮粗肤干：面色黄黯或黯红，皮肤粗糙干燥，背部以及面部多有痤疮；平时不容易出汗，许多疾病在汗后减轻，有夏轻冬重的趋向。
③易困倦：疲劳感，困倦，嗜睡，反应比较迟钝。
④多头疾：容易有头项腰背拘急疼痛、耳鸣耳詟、痤疮、皮肤疮癣等。
⑤月经不调：女性月经素乱，表现为月经量少、月经周期校长或闭经、痛经等。",表邪犯胃呕逆者，加半夏；身热烦渴，加石膏；头痛剧者，加蔓荆子、藁本；咽痛痰粘，加桔梗；伴风疹者，加防风、川芎、蝉蜕；口眼㖞斜，加地龙、川芎、木瓜。,①表虚有汗者，忌。②口渴、思冷者，忌。③下利清谷、不欲食冷之里虚寒证者，忌。④本方应餐后服用。,方歌：葛根汤内麻黄襄，桂甘芍药枣生姜，轻可去实因无汗，有汗加葛无麻黄。
1055,三物黄芩汤,养血滋阴、清热解毒,上三味以水800毫升煮取300毫升，分早晚两次温服,本方用于治疗产后血亏阴虚，风邪入里化热之证，方用黄芩清热，地黄滋阴养血，苦参燥湿祛风，刚柔并用，祛风而不燥，滋阴而不腻,临床应用以产后发热而无表证者为辨证要点。①心烦失眠，手足烦热，甚则灼热疼痛、肤色红。②唇舌干燥，口渴欲饮。③舌质红而少津,,,《金匮要略，妇人产后病脉证治》云：“治妇人在草蓐，自发露得风，四肢苦烦热，头痛者与小柴胡汤；头不痛但烦者，此汤主之。”三物黄芩汤治疗产后虚热，而且将其扩大运用于多种虚热疑难杂症。《张氏医通》：上三味皆纯阴苦寒，伤胃滞血之药，产后虽有烦热，难以轻用，必有质壮气盛，脉证俱实，能食便硬者，始堪任此，用者审之
134,参附龙牡汤,具有敛汗潜阳，扶正固脱之功效,每日1剂，水煎分3次服,附子大辛大热，回阳救逆，人参甘温，大补元气，以固后天之本。参附合用补气回阳，阳气（元阳）是五脏六腑功能活动之动力。龙骨、牡蛎重镇，固摄阳气，以防虚阳浮动，摄气归原，阴阳相互依附，故用酸甘之白芍、甘草护阴潜阳,诊断要点为汗出肢冷，面色浮红，脉虚数或浮大无根。临床上用于阴阳俱竭、阳越于上证,气虚者，加黄芪；肾虚者，加补骨脂、山茱萸、山药、桑螵蛸,龙骨、牡蛎须先煎,歌诀：证见五脱元气衰，参附龙牡急回阳；后遗偏瘫应还五，语謇舌强解语方
135,麻黄杏仁甘草石膏汤,辛凉宣泄，清肺平喘。,水煎，温服。,麻黄杏仁甘草石膏汤清宣肺热，平喘止咳。本方是麻黄汤去桂枝加石膏半斤组成。柯韵伯《伤寒来苏集》云：“一加一减，温解之方转为凉散之剂矣。”方中麻黄辛温，宣肺止咳平喘；石膏辛甘大寒，清解肺热，其用量大于麻黄一倍，使麻黄由辛温之性转为辛凉之用，以宣散清透肺热；杏仁佐助麻黄宣肺降气，止咳平喘；炙甘草化痰止咳，和中缓急，调和麻黄与石膏寒热之性。四味相合，共奏清热宣肺、止咳平喘之功。麻黄与石膏相配，以及麻黄与杏仁相配，是清热宣肺及平喘止咳的常用对药。,麻黄杏仁甘草石膏汤治邪热壅肺证。症见发汗后，汗出，气喘，无大热。临床应用以身热不解、外感风邪、有汗或无汗、咳逆气急。甚或鼻扇口渴、苔薄白或黄、脉浮滑而数为辨证要点。凡属风寒实喘、肾虚久喘者，不宜应用。,原治太阳病，发汗未愈，风寒入里化热，“汗出而喘者”。后世用于风寒化热，或风热所伤，但见肺中热盛，身热喘急，口渴脉数，无论有汗，无汗，便以本方加减治疗，服后辄效。因肺中热甚，蒸迫津液，固然有汗，若津液大伤，则汗少或无汗。此时当加重石膏用量，或加炙桑皮、芦根、知母之属。若无汗而见恶寒，是虽邪已入里化热，但在表之风寒未尽，或是风温而挟风寒所致，当酌加解表之品，如荆芥、薄荷、淡豆豉、牛蒡子之类，在用清泄肺热为主的同时，开其皮毛，使肺热得泄而愈。所以临证用本方，不必拘于“汗出而喘”，但当细审无汗之故，或加清热生津之品，或加辛散解表之属，自然药证相当，应手而效。,斟酌。,本方又称“麻杏石甘汤”，首见于《伤寒论》。原书治“汗出而喘”“无大热者”。历代医家在临床实践中发现，本方证之于临床，既有汗出而喘者，又有无汗而喘者。于此，应用中主张不论有汗或无汗，皆可投之。
136,当归四逆加吴茱萸生姜汤,养血通络，散寒降逆,以水400毫升，清酒400毫升，煮取300毫升，去滓，分二次温服。,,主症：在当归四逆汤证的基础上，兼有脘腹冷痛、呕吐涎沫、寒疝囊缩等肝胃沉寒证。病机：血虚寒凝，兼肝胃沉寒。治法：养血温经，暖肝温胃。方用当归四逆加吴茱萸生姜汤。,,,方歌：当归四逆桂志芍，细辛甘草木通枣，内有大寒加姜茱，养血通络寒逆消。
137,参附汤,益气回阳救脱,先将生姜、大枣用水煎汤，去渣留汁，以汤代水煎煮人参、附子，取汁徐徐饮服。目前临床多只用人参、附子二药，水煎服。病情严重者，可日服2剂。注射液肌内注射，或静脉滴注，每次2～10毫升，或遵医嘱。,参附汤为回阳救逆、益气固脱之要方。方中人参大补元气、益气固脱；附子回阳救逆、补火助阳、散寒止痛。参附配伍，能上助心阳，下补肾阳，中健脾气，气阳同救，起到温而兼润、补而能固的功效，可期峻补阳气以救暴脱之效。临床运用时凡大病虚极欲脱，产后或月经暴崩，或痈疡久溃，血脱亡阳等，均可用本方救治。但一俟阳气来复，病情稳定。便当辨证论治，不可多服，免纯阳之品过剂，反致助火伤阴耗血。,,,,参附汤是救脱方，益气固阳效力彰，肢厥汗出脉欲绝，阳气暴脱急煎尝
138,养阴清肺汤,养阴清肺，解毒利咽。,水煎服。一般日服1剂，重症可日服2剂。,白喉一证，多由素体阴虚蕴热，复感燥气疫毒，津液被灼，热毒熏蒸于上所致。《重楼玉钥》卷上云：“缘此证发于肺肾，凡本质不足者，或遇燥气流行，或多食辛热之物，感触而发”。喉为肺系，少阴肾脉循喉咙系舌本，肺肾阴虚，虚火上炎，复加燥热疫毒上犯，肺失清肃，以致喉间起白如腐，咽喉肿痛，或咳或不咳，呼吸有声，似喘非喘等症；鼻干唇燥，脉数无力或细数。乃燥热伤津，正虚蕴毒之征。治之之法，“不外肺肾，总要养阴清肺，兼辛凉而散为主”。《重楼玉钥》卷上 。,本方是治疗阴虚燥热白喉的常用方。以喉间起白如腐，不易拭去，咽喉肿痛，鼻干唇燥，脉数无力为辨证要点。白喉忌表，尤忌辛温发汗，据原方后记载；“如有内热及发热，不必投表药，照方服去，其热自除”。,若阴虚甚者，加熟地滋阴补肾；热毒甚者，加银花、连翘以清热解毒；燥热甚者，加天冬、鲜石斛以养阴润燥。并可配合应用《重楼玉钥》之吹药方：青果炭6g，黄柏、川贝母、儿茶、薄荷各3g，冰片、凤凰衣各1.5g。 各研细末，再入乳钵内和匀，加冰片研细，瓶装备用。,白喉忌表，尤忌辛温发汗，据原方后记载：“如有内热及发热，不必投表药，照方服去，其热自除。”,"养阴清肺是妙方，玄参草芍冬地黄，薄荷贝母丹皮入，时疫白喉急煎尝。
1.原书主治《重楼玉钥》卷上：“喉间起白如腐，初起者发热或不发热，鼻干唇燥，或咳或不咳，鼻通者轻，鼻塞者重，音声清亮，气息调匀易治，若音哑气急，即属不治。”
2.方论选录郑梅涧《重楼玉钥》卷上：“按白喉一证，即所谓白缠喉是也。诸书皆未论及，惟《医学心悟》言之。至于论治之法，亦未详备。缘此症发于肺肾，凡本质不足者，或遇燥气流行，或多食辛热之物，感触而发。初起者发热，或不发热，鼻干唇燥，或咳或不咳，鼻通者轻，鼻塞者重。音声清亮，气息调匀易治；若音哑气急，即属不治。近有好奇之辈，一遇此症，即用象牙片动手于喉中，妄刮其白，益伤其喉，更速其死，岂不哀哉！余与既均三弟疗治以来，未尝误及一人，生者甚众，经治之法，不外肺肾，总要养阴清肺，兼辛凉而散为主。"
139,四逆加人参汤,回阳救逆，益气固脱。,用量上四味，以水600毫升，煮取240毫升，去滓，分温再服。上四味，以水三升，煮取一升合，去滓，分温再服。,,,,斟酌。,别名：四顺汤（《肘后方》卷二）、回阳饮（《医学集成》卷一）、人参四顺汤（《鸡峰普济方》卷五）
1932,柴胡疏肝散,疏肝解郁，行气止痛。,水煎服，水一盅半，煎八分，食前服。,本方所治为情志不遂，肝失疏泄，肝郁血滞，横逆犯胃所致。肝失疏泄，经气不利，则胁肋疼痛，胸闷善太息，情志抑郁，易怒，脉弦；肝气不疏，横逆犯胃，则脘腹胀满。根据“木郁达之”之旨，治宜疏肝解郁，行气止痛。方以柴胡为君，调肝气，散郁结。臣以香附专人肝经，既疏肝解郁，又理气止痛；川芎辛散，开郁行气，活血止痛，二药助柴胡疏肝理气止痛。佐以陈皮理气行滞和胃，醋炒以增入肝行气之功；枳壳理气宽中，行气消胀，与陈皮相伍以理气行滞调中；白芍、甘草养血柔肝，缓急止痛。炙甘草又调和诸药，兼作使药。诸药合用，能理肝气、养肝血，和胃气，诚为疏肝理气解郁之良方。本方是四逆散加陈皮、川芎、香附而成。而四逆散中四药等量，侧重调畅气机，疏理肝脾；本方重用柴胡，轻用甘草，将枳实改为枳壳，再加陈皮、川芎、香附重在行气疏肝，兼以和血止痛，为治肝郁血滞之良方。,本方为疏肝解郁的常用方，以胁肋胀痛，脉弦为辨证要点。,胁肋痛甚者，酌加郁金、青皮、当归、乌药等以增强其行气活血之力；肝郁化火者，可酌加山栀、黄芩、川榛子以清热泻火。,本方芳香辛燥，易耗气伤阴，不宜久服。孕妇慎用。,"①原书主治 《医学统旨》：“治怒火伤肝，左胁作痛，血苑于上……吐血加童便半盅。”
②方论选录《谦斋医学讲稿》：“本方即四逆散加川芎、香附和血理气，治疗胁痛，寒热往来，专以疏肝为目的。用柴胡、枳壳、香附理气为主，白芍、川芎和血为佐，再用甘草以缓之。系疏肝的正法，可谓善于运用古方。”"
1933,牛蒡解肌汤,疏风清热，凉血解毒,水煎服,本方主要用于头面颈项疮疡。方中牛蒡子辛散风热，解毒消肿；薄荷、荆芥疏风散邪，以增强牛蒡子疏散风热之力，使邪从表解；连翘、夏枯草清热解毒，散结消痈；牡丹皮、山栀子、玄参清热泻火，凉血散血；玄参与石斛相配可滋阴清热。诸药合用，共奏疏风清热，凉血消肿之功。,临床应用以疮疡发于头面颈项、局部红肿疼痛，兼有恶寒发热，为其辨证要点,热甚者，加银花、石膏、黄芩；便秘者，重用牛蒡子，加瓜萎仁、积实、莱菔子；肿块坚硬者。加丹参、赤芍；肿块化脑者，去荆芥、牛蒡子、薄荷，加穿山甲、皂角刺,,方歌：牛蒡解肌翘丹栀，夏枯荆薄石斛玄，疏风清热又散肿，牙痛颈毒皆可医
